Date,NAV
2024-10-25,14.2914
2024-10-28,14.3786
2024-10-29,14.509
2024-10-30,14.4483
2024-10-31,14.3765
2024-11-04,14.2798
2024-11-05,14.3836
2024-11-06,14.6051
2024-11-07,14.458
2024-11-08,14.384
2024-11-11,14.3807
2024-11-12,14.2119
2024-11-13,13.9793
2024-11-14,13.9843
2024-11-18,13.9475
2024-11-19,13.9908
2024-11-21,13.9002
2024-11-22,14.1944
2024-11-25,14.4155
2024-11-26,14.4047
2024-11-27,14.4402
2024-11-28,14.2946
2024-11-29,14.3829
2024-12-02,14.4652
2024-12-03,14.5947
2024-12-04,14.6305
2024-12-05,14.7464
2024-12-06,14.743
2024-12-09,14.7283
2024-12-10,14.7469
2024-12-11,14.771
2024-12-12,14.7131
2024-12-13,14.7821
2024-12-16,14.7665
2024-12-18,14.479
2024-12-19,14.3736
2024-12-20,14.1049
2024-12-23,14.1899
2024-12-24,14.1832
2024-12-26,14.2067
2024-12-27,14.2069
2024-12-30,14.1331
2024-12-31,14.1463
2025-01-01,14.2069
2025-01-02,14.4361
2025-01-03,14.3667
2025-01-06,14.0855
2025-01-07,14.1428
2025-01-08,14.1121
2025-01-09,14.0181
2025-01-10,13.8683
2025-01-13,13.5804
2025-01-14,13.6813
2025-01-15,13.7121
2025-01-16,13.7937
2025-01-17,13.8036
2025-01-20,13.8617
2025-01-21,13.6711
2025-01-22,13.6631
2025-01-23,13.7288
2025-01-24,13.61
2025-01-27,13.4016
2025-01-28,13.4275
2025-01-29,13.5765
2025-01-30,13.6415
2025-01-31,13.8291
2025-02-03,13.6715
2025-02-04,13.8856
2025-02-05,13.8677
2025-02-06,13.7767
2025-02-07,13.7522
2025-02-10,13.6347
2025-02-11,13.3996
2025-02-12,13.3925
2025-02-13,13.3946
2025-02-14,13.2648
2025-02-17,13.276
2025-02-20,13.3409
2025-02-21,13.261
2025-02-24,13.1317
2025-02-25,13.0894
2025-02-27,13.0412
2025-02-28,12.798
2025-03-03,12.8329
2025-03-06,13.1501
2025-03-07,13.1494
2025-03-10,13.0832
2025-03-11,13.1185
2025-03-12,13.1002
2025-03-13,13.0736
2025-03-17,13.1431
2025-03-18,13.3587
2025-03-19,13.4564
2025-03-20,13.5999
2025-03-21,13.7188
2025-03-24,13.9012
2025-03-25,13.8694
2025-03-26,13.7682
2025-03-27,13.8367
2025-03-28,13.7934
2025-03-31,13.7936
2025-04-02,13.716
2025-04-03,13.6792
2025-04-04,13.4517
2025-04-07,13.0743
2025-04-08,13.2786
2025-04-09,
2025-04-11,13.4124
2025-04-16,13.7473
2025-04-17,13.9386
2025-04-21,14.1192
2025-04-22,14.163
2025-04-23,14.2755
2025-04-24,14.2369
2025-04-25,14.0918
2025-04-28,14.259
2025-04-29,14.2727
2025-04-30,14.245
2025-05-02,14.2395
2025-05-05,14.3196
2025-05-07,14.2749
2025-05-08,14.1547
2025-05-09,14.0362
2025-05-13,14.3948
2025-05-14,14.4593
2025-05-15,14.6476
2025-05-16,14.6542
2025-05-19,14.6371
2025-05-20,14.459
2025-05-21,14.554
2025-05-22,14.4576
2025-05-23,14.5857
2025-05-26,14.6657
2025-05-27,14.5789
2025-05-28,14.5335
2025-05-29,14.5677
2025-05-30,14.5147
2025-06-02,14.5118
2025-06-03,14.4348
2025-06-04,14.484
